##########################################################################
# Copyright: (c) 2013   Mayo Foundation for Medical Education and 
# Research (MFMER). All rights reserved. MAYO, MAYO CLINIC, and the
# triple-shield Mayo logo are trademarks and service marks of MFMER.
#
# Except as contained in the copyright notice above, or as used to identify 
# MFMER as the author of this software, the trade names, trademarks, service
# marks, or product names of the copyright holder shall not be used in
# advertising, promotion or otherwise in connection with this software without
# prior written authorization of the copyright holder.
# 
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
# 
# http://www.apache.org/licenses/LICENSE-2.0 
# 
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and 
# limitations under the License. 
################################################################################
# Adopt SecTag
medication ( s ) on discharge	5.37.106.125	discharge_medications
grandmom	5.34.79.102.49.35.23	grandmother_medical_history
grandmother	5.34.78.94.40.24	grandmother
grandmother	5.34.79.102.49.35.23	grandmother_medical_history
grandmother medical history	5.34.79.102.49.35.23	grandmother_medical_history
grandmother_medical_history	5.34.79.102.49.35.23	grandmother_medical_history
grandpa	5.34.78.94.40.25	grandfather
grandpa	5.34.79.102.49.35.24	grandfather_medical_history
grandparent	5.34.79.102.49	grandparent_medical_history
grandparent	5.34.78.94.40	grandparents
grandparent medical history	5.34.79.102.49	grandparent_medical_history
grandparent medical history bygroup	5.34.79.102.49.35	grandparent_medical_history_bygroup
grandparent medical history byparent	5.34.79.102.49.36	grandparent_medical_history_byparent
grandparent_medical_history	5.34.79.102.49	grandparent_medical_history
grandparent_medical_history_bygroup	5.34.79.102.49.35	grandparent_medical_history_bygroup
grandparent_medical_history_byparent	5.34.79.102.49.36	grandparent_medical_history_byparent
grandparents	5.34.79.102.49	grandparent_medical_history
grandparents	5.34.78.94.40	grandparents
gravida	5.14.23	gravida
groin	6.40.139.198	genitourinary_exam
gross motor	5.35.94.112	gross_motor_development
gross motor development	5.35.94.112	gross_motor_development
gross_motor_development	5.35.94.112	gross_motor_development
growth and development	5.35.94	growth_development
growth development	5.35.94	growth_development
growth_development	5.35.94	growth_development
gu	5.32.77.79	genitourinary_course
gu	6.40.139.198	genitourinary_exam
gu	5.34.79.103.63	genitourinary_family_history
gu	13.51.157.290	genitourinary_plan
gu	5.39.122	genitourinary_review
gu rectal	6.40.139.198-7	genital_rectal_exam
gu/rectal	6.40.139.198-7	genital_rectal_exam
gum palate	6.40.139.191.120.83.44	oral_cavity_exam
gums/palate	6.40.139.191.120.83.44	oral_cavity_exam
gyn history	5.35.91.109	gynecologic_history
gynecologic history	5.35.91.109	gynecologic_history
gynecologic_history	5.35.91.109	gynecologic_history
h p	2.3	general_history_and_physical
h&p	2.3	general_history_and_physical
habit	5.34.78.96	habits
habits	5.34.78.96	habits
hair	6.40.139.190.114	hair_exam
hair exam	6.40.139.190.114	hair_exam
hair examination	6.40.139.190.114	hair_exam
hair nail	6.40.139.190.114-3	hair_nail_exam
hair nail exam	6.40.139.190.114-3	hair_nail_exam
hair nail examination	6.40.139.190.114-3	hair_nail_exam
hair_exam	6.40.139.190.114	hair_exam
hair_nail_exam	6.40.139.190.114-3	hair_nail_exam
half bro	5.34.78.94.42.30	half_brother
half bro	5.34.79.102.51.41	half_brother_medical_history
half brother	5.34.78.94.42.30	half_brother
half brother medical history	5.34.79.102.51.41	half_brother_medical_history
half sis	5.34.78.94.42.31	half_sister
half sis	5.34.79.102.51.42	half_sister_medical_history
half sister	5.34.78.94.42.31	half_sister
half sister medical history	5.34.79.102.51.42	half_sister_medical_history
half-bro	5.34.78.94.42.30	half_brother
half-bro	5.34.79.102.51.41	half_brother_medical_history
half-sis	5.34.78.94.42.31	half_sister
half-sis	5.34.79.102.51.42	half_sister_medical_history
half_brother	5.34.78.94.42.30	half_brother
half_brother_medical_history	5.34.79.102.51.41	half_brother_medical_history
half_sister	5.34.78.94.42.31	half_sister
half_sister_medical_history	5.34.79.102.51.42	half_sister_medical_history
hand	5.39.124.160.105.77	hand_review
hand	6.40.139.200.147.148	hands_exam
hand	13.51.157.292.202.202	hands_plan
hand course	5.32.77.81.23.14.17	hand_course
hand course	5.32.77.81.23.14.5	hands_course
hand exam	6.40.139.200.147.148	hands_exam
hand examination	6.40.139.200.147.148	hands_exam
hand plan	13.51.157.292.202.202	hands_plan
hand x ray	6.41.149.234.160.167.89	xray_hand
hand xray	6.41.149.234.160.167.89	xray_hand
hand_course	5.32.77.81.23.14.17	hand_course
hand_review	5.39.124.160.105.77	hand_review
hands	6.40.139.200.147.148	hands_exam
hands	13.51.157.292.202.202	hands_plan
hands course	5.32.77.81.23.14.5	hands_course
hands exam	6.40.139.200.147.148	hands_exam
hands examination	6.40.139.200.147.148	hands_exam
hands plan	13.51.157.292.202.202	hands_plan
hands_course	5.32.77.81.23.14.5	hands_course
hands_exam	6.40.139.200.147.148	hands_exam
hands_plan	13.51.157.292.202.202	hands_plan
hc	6.40.136.172	head_circumference
hc percentile	6.40.136.173	head_percentile
he was instructed to hold the following three medications that he took prior to admission	5.37	medications
head	5.32.77.72.12.3	head_course
head	6.40.139.191.120.79	head_exam
head	13.51.157.283.188.194	head_plan
head	5.39.115.133.89	head_review
head & neck	5.32.77.72.12	head_neck_course
head & neck	6.40.139.191	head_neck_exam
head & neck	13.51.157.283.188	head_neck_plan
head & neck	5.39.115.133	head_neck_review
head and neck	5.32.77.72.12	head_neck_course
head and neck	6.40.139.191	head_neck_exam
head and neck	13.51.157.283.188	head_neck_plan
head and neck	5.39.115.133	head_neck_review
head circ	6.40.136.172	head_circumference
head circ at birth	5.25.56	birth_headcircumference
head circ birth	5.25.56	birth_headcircumference
head circ percent	6.40.136.173	head_percentile
head circumference	6.40.136.172	head_circumference
head circumference percential	6.40.136.173	head_percentile
head course	5.32.77.72.12.3	head_course
head ear nose mouth throat	6.40.139.191.120.79-29	head_ent_exam
head ent	6.40.139.191.120.79-29	head_ent_exam
head ent exam	6.40.139.191.120.79-29	head_ent_exam
head ent examination	6.40.139.191.120.79-29	head_ent_exam
head exam	6.40.139.191.120.79	head_exam
head examination	6.40.139.191.120.79	head_exam
head eye ear nose and throat	5.32.77.72	heent_course
head eye ear nose and throat	13.51.157.283	heent_plan
head eye ear nose and throat	5.39.115	heent_review
head eye ear nose and throat exam	6.40.139.191.120	heent_exam
head eye ear nose throat	5.32.77.72	heent_course
head eye ear nose throat	13.51.157.283	heent_plan
head eye ear nose throat	5.39.115	heent_review
head eye ear nose throat exam	6.40.139.191.120	heent_exam
head eyes ears nose and throat	5.32.77.72	heent_course
head eyes ears nose and throat	13.51.157.283	heent_plan
head eyes ears nose and throat	5.39.115	heent_review
head eyes ears nose and throat exam	6.40.139.191.120	heent_exam
head neck	5.32.77.72.12	head_neck_course
head neck	6.40.139.191	head_neck_exam
head neck	13.51.157.283.188	head_neck_plan
head neck	5.39.115.133	head_neck_review
head neck course	5.32.77.72.12	head_neck_course
head neck exam	6.40.139.191	head_neck_exam
head neck examination	6.40.139.191	head_neck_exam
head neck plan	13.51.157.283.188	head_neck_plan
head percentile	6.40.136.173	head_percentile
head plan	13.51.157.283.188.194	head_plan
head/ears/nose/mouth/throat	6.40.139.191.120.79-29	head_ent_exam
head/ent	6.40.139.191.120.79-29	head_ent_exam
head/neck	5.32.77.72.12	head_neck_course
head/neck	6.40.139.191	head_neck_exam
head/neck	13.51.157.283.188	head_neck_plan
head/neck	5.39.115.133	head_neck_review
head_circumference	6.40.136.172	head_circumference
head_course	5.32.77.72.12.3	head_course
head_ent_exam	6.40.139.191.120.79-29	head_ent_exam
head_exam	6.40.139.191.120.79	head_exam
head_neck_course	5.32.77.72.12	head_neck_course
head_neck_exam	6.40.139.191	head_neck_exam
head_neck_plan	13.51.157.283.188	head_neck_plan
head_neck_review	5.39.115.133	head_neck_review
head_percentile	6.40.136.173	head_percentile
head_plan	13.51.157.283.188.194	head_plan
head_review	5.39.115.133.89	head_review
headache	13.51.157.291.197	headache_plan
headache	5.39.123.153	headache_review
headache plan	13.51.157.291.197	headache_plan
headache_plan	13.51.157.291.197	headache_plan
headache_review	5.39.123.153	headache_review
health care maintenance	5.36	health_maintenance
health maint	13.51.156.277	health_maintenance_plan
health maintenance	5.36	health_maintenance
health maintenance	13.51.156.277	health_maintenance_plan
health maintenance plan	13.51.156.277	health_maintenance_plan
health screening	5.36	health_maintenance
health status	12	health_status
health_maintenance	5.36	health_maintenance
health_maintenance_plan	13.51.156.277	health_maintenance_plan
health_status	12	health_status
hearing	6.40.139.191.120.82.43	hearing_exam
hearing	5.39.115.134.91.59	hearing_review
hearing course	5.32.77.72.13.5.1	hearing_course
hearing exam	6.40.139.191.120.82.43	hearing_exam
hearing examination	6.40.139.191.120.82.43	hearing_exam
hearing_course	5.32.77.72.13.5.1	hearing_course
hearing_exam	6.40.139.191.120.82.43	hearing_exam
hearing_review	5.39.115.134.91.59	hearing_review
heart	5.32.77.75	cardiovascular_course
heart	6.40.139.194	cardiovascular_exam
heart	5.34.79.103.60	cardiovascular_family_history
heart	13.51.157.287	cardiovascular_plan
heart	5.39.118	cardiovascular_review
heart exam	6.40.139.194	cardiovascular_exam
heart rate	6.40.136.166	heart_rate
heart transplant	13.51.156.279.185	heart_transplant_plan
heart transplant plan	13.51.156.279.185	heart_transplant_plan
heart_rate	6.40.136.166	heart_rate
heart_transplant_plan	13.51.156.279.185	heart_transplant_plan
heent	5.32.77.72	heent_course
heent	6.40.139.191.120	heent_exam
heent	13.51.157.283	heent_plan
heent	5.39.115	heent_review
heent course	5.32.77.72	heent_course
heent exam	6.40.139.191.120	heent_exam
heent examination	6.40.139.191.120	heent_exam
heent neck	6.40.139.191	head_neck_exam
heent neck	5.32.77.72	heent_course
heent neck	13.51.157.283	heent_plan
heent neck	5.39.115	heent_review
heent plan	13.51.157.283	heent_plan
heent/neck	6.40.139.191	head_neck_exam
heent/neck	5.32.77.72	heent_course
heent/neck	13.51.157.283	heent_plan
heent/neck	5.39.115	heent_review
heent_course	5.32.77.72	heent_course
heent_exam	6.40.139.191.120	heent_exam
heent_plan	13.51.157.283	heent_plan
heent_review	5.39.115	heent_review
height	6.40.136.170	height
height percentile	6.40.136.171	height_percentile
height_percentile	6.40.136.171	height_percentile
hem lym	6.40.139.193.124-11	hematologic_lymphatic_exam
hem lym	13.51.157.285-9	hematologic_lymphatic_plan
hem lym	5.39.117-14	hematologic_lymphatic_review
hem lym imm	5.39.117-17	hematologic_lymphatic_immunologic_review
hem lymp	6.40.139.193.124-11	hematologic_lymphatic_exam
hem lymp	13.51.157.285-9	hematologic_lymphatic_plan
hem lymphematologic	5.39.117-14	hematologic_lymphatic_review
hem/lym	6.40.139.193.124-11	hematologic_lymphatic_exam
hem/lym	13.51.157.285-9	hematologic_lymphatic_plan
hem/lym	5.39.117-14	hematologic_lymphatic_review
hem/lym/imm	5.39.117-17	hematologic_lymphatic_immunologic_review
hem/lymp	6.40.139.193.124-11	hematologic_lymphatic_exam
hem/lymp	13.51.157.285-9	hematologic_lymphatic_plan
hem/lymphematologic	5.39.117-14	hematologic_lymphatic_review
hematologic	5.32.77.74	hematology_course
hematologic	6.40.139.193.124	hematology_exam
hematologic	5.34.79.103.59	hematology_family_history
hematologic	13.51.157.285	hematology_plan
hematologic	5.39.117	hematology_review
hematologic and oncologic	6.40.139.193.124-12	hematologic_oncologic_exam
hematologic and oncologic	13.51.157.286-8	hematologic_oncologic_plan
hematologic and oncologic	5.39.117-10	hematologic_oncologic_review
hematologic history	5.35.82.105	hematologic_history
hematologic lymphatic	6.40.139.193.124-11	hematologic_lymphatic_exam
hematologic lymphatic	13.51.157.285-9	hematologic_lymphatic_plan
hematologic lymphatic	5.39.117-14	hematologic_lymphatic_review
hematologic lymphatic exam	6.40.139.193.124-11	hematologic_lymphatic_exam
hematologic lymphatic examination	6.40.139.193.124-11	hematologic_lymphatic_exam
hematologic lymphatic immunologic	5.39.117-17	hematologic_lymphatic_immunologic_review
hematologic lymphatic immunologic system	5.39.117-17	hematologic_lymphatic_immunologic_review
hematologic lymphatic oncologic	6.40.139.193	hematologic_lymphatic_oncologic_exam
hematologic lymphatic oncologic exam	6.40.139.193	hematologic_lymphatic_oncologic_exam
hematologic lymphatic oncologic examination	6.40.139.193	hematologic_lymphatic_oncologic_exam
hematologic lymphatic plan	13.51.157.285-9	hematologic_lymphatic_plan
hematologic oncologic	6.40.139.193.124-12	hematologic_oncologic_exam
hematologic oncologic	13.51.157.286-8	hematologic_oncologic_plan
hematologic oncologic	5.39.117-10	hematologic_oncologic_review
hematologic oncologic exam	6.40.139.193.124-12	hematologic_oncologic_exam
hematologic oncologic examination	6.40.139.193.124-12	hematologic_oncologic_exam
hematologic oncologic plan	13.51.157.286-8	hematologic_oncologic_plan
hematologic system	5.32.77.74	hematology_course
hematologic system	5.34.79.103.59	hematology_family_history
hematologic system	5.39.117	hematology_review
hematologic+lymphatic+immunologic system	5.39.117-17	hematologic_lymphatic_immunologic_review
hematologic/lymphatic	6.40.139.193.124-11	hematologic_lymphatic_exam
hematologic/lymphatic	13.51.157.285-9	hematologic_lymphatic_plan
hematologic/lymphatic	5.39.117-14	hematologic_lymphatic_review
hematologic/lymphatic/oncologic	6.40.139.193	hematologic_lymphatic_oncologic_exam
hematologic/oncologic	6.40.139.193.124-12	hematologic_oncologic_exam
hematologic/oncologic	13.51.157.286-8	hematologic_oncologic_plan
hematologic/oncologic	5.39.117-10	hematologic_oncologic_review
hematologic_history	5.35.82.105	hematologic_history
hematologic_lymphatic_exam	6.40.139.193.124-11	hematologic_lymphatic_exam
hematologic_lymphatic_immunologic_review	5.39.117-17	hematologic_lymphatic_immunologic_review
hematologic_lymphatic_oncologic_exam	6.40.139.193	hematologic_lymphatic_oncologic_exam
hematologic_lymphatic_plan	13.51.157.285-9	hematologic_lymphatic_plan
hematologic_lymphatic_review	5.39.117-14	hematologic_lymphatic_review
hematologic_oncologic_exam	6.40.139.193.124-12	hematologic_oncologic_exam
hematologic_oncologic_plan	13.51.157.286-8	hematologic_oncologic_plan
hematologic_oncologic_review	5.39.117-10	hematologic_oncologic_review
hematology	6.40.139.193.124	hematology_exam
hematology	13.51.157.285	hematology_plan
hematology	5.39.117	hematology_review
hematology course	5.32.77.74	hematology_course
hematology exam	6.40.139.193.124	hematology_exam
hematology examination	6.40.139.193.124	hematology_exam
hematology family history	5.34.79.103.59	hematology_family_history
hematology oncology history	5.35.82	hemetologic_oncologic_history
hematology oncology history	5.35	past_medical_history
hematology plan	13.51.157.285	hematology_plan
hematology/oncology history	5.35.82	hemetologic_oncologic_history
hematology/oncology history	5.35	past_medical_history
hematology_course	5.32.77.74	hematology_course
hematology_exam	6.40.139.193.124	hematology_exam
hematology_family_history	5.34.79.103.59	hematology_family_history
hematology_plan	13.51.157.285	hematology_plan
hematology_review	5.39.117	hematology_review
hematopoeitic system	5.32.77.74	hematology_course
hematopoeitic system symptom	5.34.79.103.59	hematology_family_history
hematopoeitic system symptom	13.51.157.285	hematology_plan
hematopoeitic system symptom	5.39.117	hematology_review
hematopoeitic system symptoms	5.34.79.103.59	hematology_family_history
hematopoeitic system symptoms	13.51.157.285	hematology_plan
hematopoeitic system symptoms	5.39.117	hematology_review
hematopoetic and reticuloendothelial histopathological studies	6.41.153.269	hematopoetic_and_reticuloendothelial_histopatholog
hematopoetic and reticuloendothelial histopathological study	6.41.153.269	hematopoetic_and_reticuloendothelial_histopatholog
hematopoetic reticuloendothelial histopathological study	6.41.153.269	hematopoetic_and_reticuloendothelial_histopatholog
hematopoetic_and_reticuloendothelial_histopatholog	6.41.153.269	hematopoetic_and_reticuloendothelial_histopatholog
hematopoetic_and_reticuloendothelial_histopathological_studies	6.41.153.269	hematopoetic_and_reticuloendothelial_histopatholog
heme	6.40.139.193.124	hematology_exam
heme	13.51.157.285	hematology_plan
heme history	5.35.82.105	hematologic_history
heme lymph	13.51.157.285-9	hematologic_lymphatic_plan
heme lymph	5.39.117-14	hematologic_lymphatic_review
heme lymph immune	5.39.117-17	hematologic_lymphatic_immunologic_review
heme lymph immuno	5.39.117-17	hematologic_lymphatic_immunologic_review
heme lymph onc	6.40.139.193	hematologic_lymphatic_oncologic_exam
heme onc	6.40.139.193.124-12	hematologic_oncologic_exam
heme onc	5.39.117-10	hematologic_oncologic_review
heme onc history	5.35.82	hemetologic_oncologic_history
heme onc past medical	5.35.82	hemetologic_oncologic_history
heme/lymph	13.51.157.285-9	hematologic_lymphatic_plan
heme/lymph	5.39.117-14	hematologic_lymphatic_review
heme/lymph/immune	5.39.117-17	hematologic_lymphatic_immunologic_review
heme/lymph/immuno	5.39.117-17	hematologic_lymphatic_immunologic_review
